feature,raw_corr,raw_p,partial_corr,partial_p
delay_d_auc,0.7837,0.0,0.6887,0.0
delay_d_peak,0.7196,0.0,0.6572,0.0
response_d_peak,0.5452,0.0,0.5753,0.0
d_onset,0.1045,0.095201,0.5597,0.0
signal_d_peak,0.542,0.0,0.4887,0.0
response_d_auc,0.3419,0.0,0.4589,0.0
signal_d_auc,0.4376,0.0,0.4552,0.0
signal_m_peak,0.3011,1e-06,0.3768,0.0
d_peak_time,-0.3265,0.0,-0.214,0.000568
delay_m_peak,-0.3614,0.0,-0.1626,0.009155
cue_d_auc,0.6076,0.0,-0.1557,0.012612
cue_d_peak,0.6619,0.0,-0.1557,0.012612
cue_m_auc,-0.5856,0.0,-0.1557,0.012612
cue_m_peak,-0.5143,0.0,-0.1557,0.012612
signal_m_auc,0.1227,0.049915,0.1389,0.026217
m_onset,0.2401,0.000105,0.1076,0.08583
delay_m_auc,-0.3958,0.0,-0.0952,0.128802
response_m_auc,-0.1914,0.002098,-0.0503,0.422852
q_peak_time,-0.1043,0.095959,-0.0317,0.613984
q_onset,0.0392,0.532348,0.0155,0.805665
m_peak_time,0.0029,0.96293,0.007,0.911722
response_m_peak,-0.1119,0.073826,0.0055,0.930713
